0_11\point2016.txt 0_11\point2020_seg.txt
24_2\point2016.txt 24_2\point2020.txt
24_20\point2016.txt 24_20\point2020.txt
24_21\point2016_seg.txt 24_21\point2020_seg.txt
24_26\point2016.txt 24_26\point2020.txt
24_27\point2016.txt 24_27\point2020.txt
24_3\point2016.txt 24_3\point2020_seg.txt
24_5\point2016_seg.txt 24_5\point2020_seg.txt
24_6\point2016_seg.txt 24_6\point2020_seg.txt
24_7\point2016_seg.txt 24_7\point2020.txt
24_9\point2016_seg.txt 24_9\point2020.txt
25_1\point2016_seg.txt 25_1\point2020.txt
25_10\point2016_seg.txt 25_10\point2020.txt
25_12\point2016_seg.txt 25_12\point2020.txt
25_14\point2016.txt 25_14\point2020.txt
25_15\point2016.txt 25_15\point2020.txt
25_16\point2016.txt 25_16\point2020.txt
25_17\point2016_seg.txt 25_17\point2020_seg.txt
25_18\point2016_seg.txt 25_18\point2020.txt
25_19\point2016.txt 25_19\point2020.txt
25_21\point2016_seg.txt 25_21\point2020_seg.txt
25_23\point2016_seg.txt 25_23\point2020_seg.txt
25_3\point2016_seg.txt 25_3\point2020_seg.txt
25_4\point2016_seg.txt 25_4\point2020_seg.txt
25_5\point2016_seg.txt 25_5\point2020.txt
25_6\point2016_seg.txt 25_6\point2020.txt
25_8\point2016_seg.txt 25_8\point2020_seg.txt
25_9\point2016_seg.txt 25_9\point2020.txt
26_1\point2016_seg.txt 26_1\point2020_seg.txt
26_12\point2016_seg.txt 26_12\point2020_seg.txt
26_3\point2016_seg.txt 26_3\point2020_seg.txt
26_4\point2016_seg.txt 26_4\point2020_seg.txt
26_5\point2016_seg.txt 26_5\point2020.txt
27_1\point2016.txt 27_1\point2020.txt
27_4\point2016.txt 27_4\point2020.txt
28_1\point2016.txt 28_1\point2020.txt
28_12\point2016.txt 28_12\point2020_seg.txt
28_13\point2016.txt 28_13\point2020_seg.txt
28_2\point2016_seg.txt 28_2\point2020_seg.txt
28_3\point2016_seg.txt 28_3\point2020.txt
28_4\point2016_seg.txt 28_4\point2020_seg.txt
29_1\point2016.txt 29_1\point2020.txt
29_3\point2016_seg.txt 29_3\point2020.txt
30_1\point2016.txt 30_1\point2020_seg.txt
30_2\point2016.txt 30_2\point2020.txt
30_3\point2016.txt 30_3\point2020.txt
31_1\point2016_seg.txt 31_1\point2020_seg.txt
31_2\point2016_seg.txt 31_2\point2020_seg.txt
31_3\point2016.txt 31_3\point2020_seg.txt
31_4\point2016.txt 31_4\point2020_seg.txt
31_5\point2016_seg.txt 31_5\point2020_seg.txt
32_1\point2016.txt 32_1\point2020.txt
32_2\point2016.txt 32_2\point2020_seg.txt
32_3\point2016.txt 32_3\point2020.txt
33_1\point2016.txt 33_1\point2020.txt
33_10\point2016_seg.txt 33_10\point2020.txt
33_2\point2016.txt 33_2\point2020.txt
33_3\point2016.txt 33_3\point2020.txt
33_4\point2016.txt 33_4\point2020_seg.txt
33_5\point2016_seg.txt 33_5\point2020_seg.txt
33_6\point2016.txt 33_6\point2020.txt
33_7\point2016.txt 33_7\point2020.txt
33_8\point2016.txt 33_8\point2020.txt
34_11\point2016.txt 34_11\point2020.txt
34_12\point2016.txt 34_12\point2020.txt
34_13\point2016.txt 34_13\point2020.txt
34_2\point2016.txt 34_2\point2020_seg.txt
34_5\point2016.txt 34_5\point2020_seg.txt
34_6\point2016_seg.txt 34_6\point2020_seg.txt
34_7\point2016.txt 34_7\point2020_seg.txt
35_1\point2016_seg.txt 35_1\point2020_seg.txt
35_2\point2016.txt 35_2\point2020.txt
36_1\point2016.txt 36_1\point2020_seg.txt
36_2\point2016.txt 36_2\point2020_seg.txt
36_3\point2016.txt 36_3\point2020.txt
36_4\point2016.txt 36_4\point2020.txt
36_5\point2016.txt 36_5\point2020.txt
36_6\point2016_seg.txt 36_6\point2020_seg.txt
36_7\point2016.txt 36_7\point2020.txt
37_2\point2016_seg.txt 37_2\point2020_seg.txt
37_3\point2016_seg.txt 37_3\point2020_seg.txt
38_10\point2016.txt 38_10\point2020_seg.txt
38_12\point2016_seg.txt 38_12\point2020_seg.txt
38_2\point2016.txt 38_2\point2020.txt
38_3\point2016_seg.txt 38_3\point2020_seg.txt
38_5\point2016_seg.txt 38_5\point2020.txt
38_6\point2016_seg.txt 38_6\point2020_seg.txt
38_7\point2016_seg.txt 38_7\point2020_seg.txt
38_8\point2016_seg.txt 38_8\point2020.txt
38_9\point2016_seg.txt 38_9\point2020_seg.txt
39_2\point2016_seg.txt 39_2\point2020.txt
39_3\point2016_seg.txt 39_3\point2020.txt
39_4\point2016_seg.txt 39_4\point2020_seg.txt
39_7\point2016.txt 39_7\point2020_seg.txt
3_1\point2016.txt 3_1\point2020.txt
40_1\point2016_seg.txt 40_1\point2020.txt
40_3\point2016_seg.txt 40_3\point2020.txt
40_4\point2016.txt 40_4\point2020.txt
40_5\point2016_seg.txt 40_5\point2020_seg.txt
40_8\point2016.txt 40_8\point2020_seg.txt
41_1\point2016_seg.txt 41_1\point2020.txt
42_1\point2016.txt 42_1\point2020.txt
42_3\point2016.txt 42_3\point2020.txt
42_5\point2016_seg.txt 42_5\point2020.txt
42_6\point2016_seg.txt 42_6\point2020.txt
44_2\point2016_seg.txt 44_2\point2020.txt
44_3\point2016.txt 44_3\point2020_seg.txt
44_4\point2016.txt 44_4\point2020.txt
44_5\point2016.txt 44_5\point2020.txt
44_6\point2016.txt 44_6\point2020.txt
44_7\point2016.txt 44_7\point2020.txt
45_2\point2016_seg.txt 45_2\point2020.txt
45_3\point2016.txt 45_3\point2020_seg.txt
45_4\point2016_seg.txt 45_4\point2020.txt
45_5\point2016.txt 45_5\point2020_seg.txt
46_1\point2016_seg.txt 46_1\point2020_seg.txt
46_2\point2016.txt 46_2\point2020.txt
46_3\point2016.txt 46_3\point2020.txt
46_6\point2016.txt 46_6\point2020.txt
47_1\point2016.txt 47_1\point2020.txt
47_10\point2016.txt 47_10\point2020_seg.txt
47_11\point2016.txt 47_11\point2020_seg.txt
47_2\point2016.txt 47_2\point2020.txt
47_3\point2016_seg.txt 47_3\point2020.txt
47_5\point2016.txt 47_5\point2020_seg.txt
47_6\point2016_seg.txt 47_6\point2020.txt
47_7\point2016.txt 47_7\point2020.txt
47_8\point2016.txt 47_8\point2020.txt
47_9\point2016.txt 47_9\point2020_seg.txt
48_1\point2016.txt 48_1\point2020.txt
48_2\point2016_seg.txt 48_2\point2020.txt
48_3\point2016_seg.txt 48_3\point2020.txt
48_4\point2016_seg.txt 48_4\point2020.txt
49_2\point2016.txt 49_2\point2020.txt
49_3\point2016.txt 49_3\point2020.txt
49_4\point2016.txt 49_4\point2020_seg.txt
49_5\point2016_seg.txt 49_5\point2020_seg.txt
49_6\point2016.txt 49_6\point2020.txt
4_2\point2016.txt 4_2\point2020.txt
50_1\point2016_seg.txt 50_1\point2020.txt
50_2\point2016_seg.txt 50_2\point2020.txt
50_3\point2016.txt 50_3\point2020_seg.txt
50_4\point2016_seg.txt 50_4\point2020_seg.txt
50_5\point2016_seg.txt 50_5\point2020_seg.txt
50_6\point2016.txt 50_6\point2020_seg.txt
50_7\point2016.txt 50_7\point2020_seg.txt
50_8\point2016.txt 50_8\point2020_seg.txt
51_1\point2016_seg.txt 51_1\point2020_seg.txt
51_10\point2016.txt 51_10\point2020_seg.txt
51_11\point2016.txt 51_11\point2020_seg.txt
51_3\point2016_seg.txt 51_3\point2020.txt
51_4\point2016_seg.txt 51_4\point2020.txt
51_6\point2016.txt 51_6\point2020.txt
51_7\point2016_seg.txt 51_7\point2020.txt
51_8\point2016_seg.txt 51_8\point2020_seg.txt
51_9\point2016_seg.txt 51_9\point2020.txt
52_1\point2016_seg.txt 52_1\point2020_seg.txt
52_2\point2016_seg.txt 52_2\point2020.txt
52_4\point2016.txt 52_4\point2020.txt
53_1\point2016_seg.txt 53_1\point2020_seg.txt
53_10\point2016.txt 53_10\point2020_seg.txt
53_2\point2016_seg.txt 53_2\point2020.txt
53_3\point2016_seg.txt 53_3\point2020.txt
53_5\point2016.txt 53_5\point2020.txt
53_6\point2016_seg.txt 53_6\point2020.txt
53_7\point2016_seg.txt 53_7\point2020_seg.txt
54_1\point2016_seg.txt 54_1\point2020.txt
55_1\point2016_seg.txt 55_1\point2020_seg.txt
55_2\point2016.txt 55_2\point2020_seg.txt
55_3\point2016.txt 55_3\point2020.txt
55_4\point2016_seg.txt 55_4\point2020.txt
55_5\point2016_seg.txt 55_5\point2020_seg.txt
55_6\point2016_seg.txt 55_6\point2020.txt
56_2\point2016.txt 56_2\point2020.txt
56_3\point2016.txt 56_3\point2020.txt
56_4\point2016.txt 56_4\point2020.txt
56_7\point2016.txt 56_7\point2020_seg.txt
57_1\point2016.txt 57_1\point2020.txt
57_3\point2016.txt 57_3\point2020.txt
57_4\point2016.txt 57_4\point2020.txt
57_5\point2016.txt 57_5\point2020.txt
57_6\point2016.txt 57_6\point2020.txt
58_1\point2016.txt 58_1\point2020.txt
58_2\point2016.txt 58_2\point2020.txt
58_3\point2016.txt 58_3\point2020.txt
58_4\point2016.txt 58_4\point2020.txt
59_2\point2016.txt 59_2\point2020.txt
59_3\point2016_seg.txt 59_3\point2020.txt
5_1\point2016_seg.txt 5_1\point2020.txt
5_4\point2016.txt 5_4\point2020.txt
60_3\point2016.txt 60_3\point2020.txt
61_1\point2016_seg.txt 61_1\point2020.txt
61_2\point2016.txt 61_2\point2020.txt
62_1\point2016.txt 62_1\point2020.txt
62_3\point2016.txt 62_3\point2020.txt
62_4\point2016.txt 62_4\point2020.txt
63_1\point2016.txt 63_1\point2020.txt
63_2\point2016.txt 63_2\point2020.txt
63_3\point2016.txt 63_3\point2020.txt
63_4\point2016.txt 63_4\point2020.txt
64_1\point2016.txt 64_1\point2020.txt
64_11\point2016_seg.txt 64_11\point2020_seg.txt
64_14\point2016_seg.txt 64_14\point2020.txt
64_15\point2016.txt 64_15\point2020.txt
64_17\point2016_seg.txt 64_17\point2020.txt
64_2\point2016.txt 64_2\point2020.txt
64_3\point2016_seg.txt 64_3\point2020.txt
64_4\point2016.txt 64_4\point2020.txt
64_5\point2016.txt 64_5\point2020.txt
64_6\point2016_seg.txt 64_6\point2020.txt
64_7\point2016.txt 64_7\point2020.txt
64_8\point2016.txt 64_8\point2020.txt
64_9\point2016.txt 64_9\point2020_seg.txt
65_1\point2016.txt 65_1\point2020.txt
65_11\point2016.txt 65_11\point2020.txt
65_2\point2016.txt 65_2\point2020.txt
65_3\point2016.txt 65_3\point2020.txt
65_5\point2016.txt 65_5\point2020.txt
65_7\point2016.txt 65_7\point2020.txt
65_8\point2016.txt 65_8\point2020.txt
65_9\point2016_seg.txt 65_9\point2020.txt
66_1\point2016_seg.txt 66_1\point2020.txt
66_10\point2016_seg.txt 66_10\point2020.txt
66_11\point2016_seg.txt 66_11\point2020.txt
66_12\point2016_seg.txt 66_12\point2020.txt
66_13\point2016_seg.txt 66_13\point2020.txt
66_14\point2016_seg.txt 66_14\point2020_seg.txt
66_16\point2016_seg.txt 66_16\point2020.txt
66_18\point2016_seg.txt 66_18\point2020.txt
66_19\point2016_seg.txt 66_19\point2020.txt
66_2\point2016_seg.txt 66_2\point2020.txt
66_21\point2016_seg.txt 66_21\point2020.txt
66_22\point2016.txt 66_22\point2020.txt
66_23\point2016_seg.txt 66_23\point2020_seg.txt
66_25\point2016.txt 66_25\point2020.txt
66_26\point2016_seg.txt 66_26\point2020.txt
66_28\point2016_seg.txt 66_28\point2020.txt
66_3\point2016_seg.txt 66_3\point2020.txt
66_32\point2016_seg.txt 66_32\point2020.txt
66_4\point2016_seg.txt 66_4\point2020.txt
66_5\point2016_seg.txt 66_5\point2020.txt
66_6\point2016.txt 66_6\point2020.txt
66_7\point2016_seg.txt 66_7\point2020.txt
66_8\point2016_seg.txt 66_8\point2020_seg.txt
66_9\point2016_seg.txt 66_9\point2020_seg.txt
67_1\point2016.txt 67_1\point2020.txt
67_10\point2016.txt 67_10\point2020.txt
67_11\point2016.txt 67_11\point2020.txt
67_12\point2016_seg.txt 67_12\point2020.txt
67_13\point2016.txt 67_13\point2020.txt
67_14\point2016_seg.txt 67_14\point2020.txt
67_2\point2016.txt 67_2\point2020.txt
67_3\point2016_seg.txt 67_3\point2020.txt
67_4\point2016.txt 67_4\point2020.txt
67_5\point2016.txt 67_5\point2020.txt
67_6\point2016.txt 67_6\point2020.txt
67_7\point2016.txt 67_7\point2020.txt
67_8\point2016.txt 67_8\point2020.txt
68_1\point2016.txt 68_1\point2020.txt
68_10\point2016_seg.txt 68_10\point2020.txt
68_11\point2016.txt 68_11\point2020.txt
68_13\point2016.txt 68_13\point2020.txt
68_14\point2016_seg.txt 68_14\point2020.txt
68_3\point2016.txt 68_3\point2020.txt
68_4\point2016_seg.txt 68_4\point2020.txt
68_6\point2016.txt 68_6\point2020.txt
68_7\point2016.txt 68_7\point2020.txt
68_8\point2016.txt 68_8\point2020.txt
68_9\point2016.txt 68_9\point2020.txt
69_1\point2016.txt 69_1\point2020.txt
69_2\point2016.txt 69_2\point2020.txt
69_4\point2016.txt 69_4\point2020.txt
69_5\point2016.txt 69_5\point2020.txt
69_6\point2016.txt 69_6\point2020.txt
69_7\point2016.txt 69_7\point2020.txt
6_2\point2016_seg.txt 6_2\point2020.txt
70_2\point2016.txt 70_2\point2020_seg.txt
71_1\point2016.txt 71_1\point2020_seg.txt
72_2\point2016_seg.txt 72_2\point2020.txt
72_3\point2016_seg.txt 72_3\point2020_seg.txt
72_4\point2016.txt 72_4\point2020_seg.txt
72_5\point2016.txt 72_5\point2020_seg.txt
72_6\point2016.txt 72_6\point2020_seg.txt
72_7\point2016.txt 72_7\point2020_seg.txt
73_2\point2016_seg.txt 73_2\point2020_seg.txt
73_5\point2016.txt 73_5\point2020_seg.txt
75_1\point2016.txt 75_1\point2020_seg.txt
75_2\point2016_seg.txt 75_2\point2020.txt
76_1\point2016.txt 76_1\point2020.txt
76_3\point2016.txt 76_3\point2020.txt
76_4\point2016.txt 76_4\point2020.txt
77_1\point2016_seg.txt 77_1\point2020.txt
77_2\point2016_seg.txt 77_2\point2020.txt
77_3\point2016.txt 77_3\point2020.txt
77_4\point2016_seg.txt 77_4\point2020.txt
77_5\point2016.txt 77_5\point2020.txt
77_6\point2016.txt 77_6\point2020.txt
77_7\point2016.txt 77_7\point2020.txt
78_1\point2016.txt 78_1\point2020_seg.txt
78_2\point2016.txt 78_2\point2020.txt
78_3\point2016.txt 78_3\point2020.txt
79_1\point2016_seg.txt 79_1\point2020.txt
79_14\point2016_seg.txt 79_14\point2020.txt
79_15\point2016.txt 79_15\point2020.txt
79_16\point2016_seg.txt 79_16\point2020.txt
79_17\point2016_seg.txt 79_17\point2020.txt
79_18\point2016_seg.txt 79_18\point2020_seg.txt
79_2\point2016.txt 79_2\point2020.txt
79_3\point2016_seg.txt 79_3\point2020.txt
79_4\point2016.txt 79_4\point2020_seg.txt
79_5\point2016.txt 79_5\point2020_seg.txt
79_6\point2016.txt 79_6\point2020.txt
79_7\point2016.txt 79_7\point2020.txt
79_8\point2016.txt 79_8\point2020.txt
7_1\point2016.txt 7_1\point2020.txt
7_2\point2016.txt 7_2\point2020.txt
7_5\point2016.txt 7_5\point2020.txt
9_2\point2016.txt 9_2\point2020.txt
